rho,tau,mu,kap,n,n_accept,accept_rate,abstain_rate,tp_any,fp_any,fn_any,tn_any,precision_any,recall_any,f1_any,tp_strict,fp_strict,fn_strict,precision_strict,recall_strict,f1_strict,n_generic,generic_accepted,generic_abstain_rate
1.0,0.25,-4.5,3,150,59,0.3933333333333333,0.6066666666666667,13,30,8,49,0.3023255813953488,0.6190476190476191,0.40625,4,39,5,0.09302325581395349,0.4444444444444444,0.15384615384615385,22,0,1.0
1.0,0.25,-4.5,5,150,59,0.3933333333333333,0.6066666666666667,13,30,8,49,0.3023255813953488,0.6190476190476191,0.40625,4,39,5,0.09302325581395349,0.4444444444444444,0.15384615384615385,22,0,1.0
1.0,0.25,-4.5,999,150,59,0.3933333333333333,0.6066666666666667,13,30,8,49,0.3023255813953488,0.6190476190476191,0.40625,4,39,5,0.09302325581395349,0.4444444444444444,0.15384615384615385,22,0,1.0
1.0,0.25,-4.0,1,150,32,0.21333333333333335,0.7866666666666666,8,13,13,66,0.38095238095238093,0.38095238095238093,0.38095238095238093,2,19,7,0.09523809523809523,0.2222222222222222,0.13333333333333333,22,0,1.0
1.0,0.25,-4.0,2,150,40,0.26666666666666666,0.7333333333333334,10,18,11,61,0.35714285714285715,0.47619047619047616,0.40816326530612246,3,25,6,0.10714285714285714,0.3333333333333333,0.16216216216216214,22,0,1.0
1.0,0.25,-4.0,3,150,41,0.2733333333333333,0.7266666666666667,11,18,10,61,0.3793103448275862,0.5238095238095238,0.44,4,25,5,0.13793103448275862,0.4444444444444444,0.21052631578947367,22,0,1.0
1.0,0.25,-4.0,5,150,41,0.2733333333333333,0.7266666666666667,11,18,10,61,0.3793103448275862,0.5238095238095238,0.44,4,25,5,0.13793103448275862,0.4444444444444444,0.21052631578947367,22,0,1.0
1.0,0.25,-4.0,999,150,41,0.2733333333333333,0.7266666666666667,11,18,10,61,0.3793103448275862,0.5238095238095238,0.44,4,25,5,0.13793103448275862,0.4444444444444444,0.21052631578947367,22,0,1.0
1.0,0.25,-3.0,1,150,20,0.13333333333333333,0.8666666666666667,4,5,17,74,0.4444444444444444,0.19047619047619047,0.26666666666666666,1,8,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,22,0,1.0
1.0,0.25,-3.0,2,150,23,0.15333333333333332,0.8466666666666667,5,7,16,72,0.4166666666666667,0.23809523809523808,0.30303030303030304,2,10,7,0.16666666666666666,0.2222222222222222,0.1904761904761905,22,0,1.0
1.0,0.25,-3.0,3,150,24,0.16,0.84,6,7,15,72,0.46153846153846156,0.2857142857142857,0.35294117647058826,3,10,6,0.23076923076923078,0.3333333333333333,0.27272727272727276,22,0,1.0
1.0,0.25,-3.0,5,150,24,0.16,0.84,6,7,15,72,0.46153846153846156,0.2857142857142857,0.35294117647058826,3,10,6,0.23076923076923078,0.3333333333333333,0.27272727272727276,22,0,1.0
1.0,0.25,-3.0,999,150,24,0.16,0.84,6,7,15,72,0.46153846153846156,0.2857142857142857,0.35294117647058826,3,10,6,0.23076923076923078,0.3333333333333333,0.27272727272727276,22,0,1.0
1.0,0.25,-2.0,1,150,16,0.10666666666666667,0.8933333333333333,3,3,18,76,0.5,0.14285714285714285,0.22222222222222224,1,5,8,0.16666666666666666,0.1111111111111111,0.13333333333333333,22,0,1.0
1.0,0.25,-2.0,2,150,18,0.12,0.88,4,4,17,75,0.5,0.19047619047619047,0.27586206896551724,2,6,7,0.25,0.2222222222222222,0.23529411764705882,22,0,1.0
1.0,0.25,-2.0,3,150,19,0.12666666666666668,0.8733333333333333,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.25,-2.0,5,150,19,0.12666666666666668,0.8733333333333333,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.25,-2.0,999,150,19,0.12666666666666668,0.8733333333333333,5,4,16,75,0.5555555555555556,0.23809523809523808,0.33333333333333326,3,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0,1.0
1.0,0.25,0.0,1,150,3,0.02,0.98,0,0,21,79,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,22,0,1.0
